"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gn","gn1","human_mouse","lca","name"
"202956",27.3751000811352,-0.717656795382147,2.64429576410361,-0.271398080776121,0.78608487799031,0.999944752038706,"","","False",716546,"gi|115398299|ref|XP_001214741.1| NADP-specific glutamate dehydrogenase [Aspergillus terreus NIH2624]"
"209005",76.3382744137771,0.0478746921415334,2.35800719932788,0.0203030305230533,0.983801638278469,0.999944752038706,"","","False",2759,"gi|573989463|ref|XP_006672652.1| histone H4.1 [Cordyceps militaris CM01]"
"217964",7.9552749239222,-1.36964261584717,4.13433154313734,-0.331285142847499,0.74042911259332,0.999944752038706,"","","False",684364,"gi|575484636|ref|XP_006681612.1| hypothetical protein BATDEDRAFT_17631 [Batrachochytrium dendrobatidis JAM81]"
"248190",6.60567982531079,-0.98262275553962,4.32551234501479,-0.227169102100033,0.820292252586486,0.999944752038706,"","","False",1263415,"gi|629651787|ref|XP_007802590.1| hypothetical protein EPUS_01794 [Endocarpon pusillum Z07020]"
"251275",8.17070598336399,0.0259086404875449,4.07341524677037,0.00636042213179388,0.994925151598016,0.999944752038706,"","","False",2759,"gi|629657957|ref|XP_007804075.1| hypothetical protein EPUS_06354 [Endocarpon pusillum Z07020]"
"265827",7.63002768335938,4.43385054365179,4.5490888248114,0.974667832263225,0.32972505427845,0.999944752038706,"","","False",619300,"gi|598072959|ref|XP_007377308.1| 3-phosphoglycerate kinase [Spathaspora passalidarum NRRL Y-27907]"
"268176",9.51212466353025,7.25972356970038,4.97973988084851,1.45785196484266,0.144881351269677,0.999944752038706,"ATP5B","ATP5B","False",33154,"gi|171690264|ref|XP_001910057.1| hypothetical protein, partial [Podospora anserina S mat+]"
"297515",9.75606009395237,0.495380584633416,3.90962660475049,0.12670790198519,0.899171591372852,0.999944752038706,"","","False",155619,"gi|599394398|ref|XP_007399693.1| hypothetical protein PHACADRAFT_127903 [Phanerochaete carnosa HHB-10118-sp]"
"301710",8.17070598336399,0.0259086404875449,4.07341524677037,0.00636042213179388,0.994925151598016,0.999944752038706,"","","False",5204,"gi|628825023|ref|XP_007762815.1| P-loop containing nucleoside triphosphate hydrolase protein [Coniophora puteana RWD-64-598 SS2]"
"302579",9.10159049718184,0.538448906761375,3.97367169242002,0.13550412526241,0.892213302852965,0.999944752038706,"","","False",2759,"gi|630191810|ref|XP_007848797.1| calmodulin [Moniliophthora roreri MCA 2997]"
"318873",9.87584749012231,0.647329697363334,3.33433542511386,0.194140545215612,0.846065835043996,0.999944752038706,"","","False",741275,"gi|599107535|ref|XP_007383258.1| NADP-specific glutamate dehydrogenase [Punctularia strigosozonata HHB-11173 SS5]"
"372822",9.35767746169399,1.30271615935435,3.97366156818661,0.327837722714983,0.743034363533029,0.999944752038706,"","","False",4893,"gi|365984273|ref|XP_003668969.1| hypothetical protein NDAI_0C00650 [Naumovozyma dairenensis CBS 421]"
"374028",51.0932595688163,1.06388458327275,3.18477667549062,0.33405311947308,0.738339475144973,0.999944752038706,"","","False",4892,"gi|50423973|ref|XP_460571.1| DEHA2F04796p [Debaryomyces hansenii CBS767]"
"375344",8.06906622068811,1.27296959994737,4.11667420804828,0.309222818132815,0.757152037553806,0.999944752038706,"","","False",4892,"gi|366994624|ref|XP_003677076.1| hypothetical protein NCAS_0F02370 [Naumovozyma castellii CBS 4309]"
"382738",7.67068358842973,2.71771029436,4.27767140604465,0.635324698040079,0.525216668735686,0.999944752038706,"","","False",332648,"gi|154312262|ref|XP_001555459.1| heat shock 70 kDa protein 2 [Botrytis cinerea B05.10]"
"395065",6.65848726447118,6.7451353596692,5.32306901970427,1.26715158768389,0.205101092523437,0.999944752038706,"","","False",559292,"gi|6320255|ref|NP_010335.1| triose-phosphate isomerase TPI1 [Saccharomyces cerevisiae S288c]"
"397898",3.48777904329443,5.81220065780668,6.26193208189331,0.928180085921556,0.353314162537547,0.999944752038706,"","","False",559292,"gi|6320181|ref|NP_010262.1| glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1 [Saccharomyces cerevisiae S288c]"
"407882",62.190579007653,0.268831491564972,2.53677461843848,0.105973739098057,0.915603187999551,0.999944752038706,"EEF1A1P5,EEF1A1,Eef1a2,Eef1a1,EEF1A2","","False",131567,"gi|146322501|ref|XP_750388.2| translation elongation factor EF-1 alpha subunit [Aspergillus fumigatus Af293]"
"411676",31.7687633197202,0.538400099589441,2.63539763677406,0.204295584118565,0.838122520569053,0.999944752038706,"","","False",716546,"gi|71001294|ref|XP_755328.1| mitochondrial Hsp70 chaperone (Ssc70) [Aspergillus fumigatus Af293]"
"566971",5.41053192853565,3.91029073203907,4.90199646174315,0.797693503566621,0.425048374715449,0.999944752038706,"","","False",4892,"gi|210075987|ref|XP_505195.2| YALI0F09185p [Yarrowia lipolytica]"
"640706",32.1867766541666,3.44952044652681,3.4256221490296,1.00697633786142,0.313946145257237,0.999944752038706,"","","False",559292,"gi|6324486|ref|NP_014555.1| alcohol dehydrogenase ADH1 [Saccharomyces cerevisiae S288c]"
"642086",24.5974048758776,2.82790910527365,3.4663174737639,0.815825188165171,0.4146001249081,0.999944752038706,"","","False",4892,"gi|254581302|ref|XP_002496636.1| ZYRO0D04686p [Zygosaccharomyces rouxii]"
"645785",17.6910070653394,-0.196487676011884,3.49322153521519,-0.0562482722699062,0.955144026294525,0.999944752038706,"","","False",294747,"gi|255730295|ref|XP_002550072.1| elongation factor Tu, mitochondrial precursor [Candida tropicalis MYA-3404]"
"651398",26.0811192237901,4.19574301272247,3.57333837264065,1.17418015736972,0.240322872137334,0.999944752038706,"","","False",4893,"gi|45185554|ref|NP_983270.1| ACL134Cp [Ashbya gossypii ATCC 10895]"
"655453",6.40240029995903,2.41286200617585,4.45887406908249,0.541137060341413,0.588413115543506,0.999944752038706,"","","False",284593,"gi|50290317|ref|XP_447590.1| hypothetical protein [Candida glabrata CBS 138]"
"670786",7.41459662391759,1.41289586114451,4.21384638099422,0.33529837905746,0.737400016358779,0.999944752038706,"","","False",5052,"gi|238484929|ref|XP_002373703.1| pyruvate kinase [Aspergillus flavus NRRL3357]"
"679801",4.12192068752978,6.05322455446837,5.97403057009057,1.01325637414283,0.310937719576747,0.999944752038706,"","","False",4893,"gi|50309339|ref|XP_454677.1| 40S ribosomal protein S0 [Kluyveromyces lactis NRRL Y-1140]"
