,go,go_name,name,q
C0H3V2,GO:0005737;GO:0005737;GO:0071944;GO:0016020,cytoplasm;cytoplasm;cell periphery;membrane,Mannitol-specific phosphotransferase enzyme IIA component OS=Bacillus subtilis (strain 168) GN=mtlF PE=1 SV=1 ,6
C0H3Y1,,,Uncharacterized protein YhzD OS=Bacillus subtilis (strain 168) GN=yhzD PE=4 SV=1 ,2
C0SP85,GO:0005575;GO:0005575,cellular_component;cellular_component,Protein YukE OS=Bacillus subtilis (strain 168) GN=yukE PE=1 SV=1 ,80
C0SP86,GO:0005737;GO:0005737,cytoplasm;cytoplasm,DNA translocase SftA OS=Bacillus subtilis (strain 168) GN=sftA PE=1 SV=1 ,6
C0SP93,GO:0005737;GO:0005737;GO:0005737,cytoplasm;cytoplasm;cytoplasm,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Bacillus subtilis (strain 168) GN=accD PE=1 SV=1 ,9
C0SP94,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0071944;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;cell periphery;membrane,Putative ABC transporter substrate-binding lipoprotein YhfQ OS=Bacillus subtilis (strain 168) GN=yhfQ PE=1 SV=1 ,16
C0SPA7,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane,ESX secretion system protein YukB OS=Bacillus subtilis (strain 168) GN=yukB PE=3 SV=1 ,8
C0SPB4,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane,Uncharacterized ABC transporter ATP-binding protein YhaQ OS=Bacillus subtilis (strain 168) GN=yhaQ PE=3 SV=1 ,2
O05268,,,Ferredoxin--NADP reductase 2 OS=Bacillus subtilis (strain 168) GN=yumC PE=1 SV=2 ,5
O05389,,,Uncharacterized oxidoreductase YrbE OS=Bacillus subtilis (strain 168) GN=yrbE PE=3 SV=2 ,7
O05496,GO:0043226;GO:0005623,organelle;cell,Uncharacterized UDP-glucosyltransferase YdhE OS=Bacillus subtilis (strain 168) GN=ydhE PE=3 SV=2 ,13
O05508,GO:0005737,cytoplasm,6-phospho-beta-glucosidase GmuD OS=Bacillus subtilis (strain 168) GN=gmuD PE=1 SV=1 ,2
O05516,GO:0005737;GO:0005737;GO:0005623,cytoplasm;cytoplasm;cell,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB OS=Bacillus subtilis (strain 168) GN=tsaB PE=1 SV=1 ,16
O05518,GO:0005737;GO:0005737;GO:0005623,cytoplasm;cytoplasm;cell,tRNA N6-adenosine threonylcarbamoyltransferase OS=Bacillus subtilis (strain 168) GN=tsaD PE=1 SV=1 ,5
O05519,,,Uncharacterized ABC transporter ATP-binding protein YdiF OS=Bacillus subtilis (strain 168) GN=ydiF PE=3 SV=2 ,2
O05521,GO:0005737;GO:0005737;GO:0005737,cytoplasm;cytoplasm;cytoplasm,Redox-sensing transcriptional repressor Rex OS=Bacillus subtilis (strain 168) GN=rex PE=1 SV=1 ,3
O06006,,,Putative cysteine protease YraA OS=Bacillus subtilis (strain 168) GN=yraA PE=2 SV=2 ,6
O06476,,,Uncharacterized ABC transporter ATP-binding protein YfmR OS=Bacillus subtilis (strain 168) GN=yfmR PE=3 SV=1 ,8
O06477,GO:0016020,membrane,Putative sensory transducer protein YfmS OS=Bacillus subtilis (strain 168) GN=yfmS PE=2 SV=1 ,23
O06478,,,Putative aldehyde dehydrogenase YfmT OS=Bacillus subtilis (strain 168) GN=yfmT PE=2 SV=1 ,84
O06491,GO:0005623,cell,Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Bacillus subtilis (strain 168) GN=gatA PE=3 SV=3 ,254
O06492,,,Glutamyl-tRNA(Gln) amidotransferase subunit C OS=Bacillus subtilis (strain 168) GN=gatC PE=3 SV=3 ,35
O06714,,,Nuclease SbcCD subunit C OS=Bacillus subtilis (strain 168) GN=sbcC PE=3 SV=3 ,16
O06724,,,Uncharacterized protein YisK OS=Bacillus subtilis (strain 168) GN=yisK PE=2 SV=1 ,2
O06744,,,Uncharacterized N-acetyltransferase YitI OS=Bacillus subtilis (strain 168) GN=yitI PE=3 SV=3 ,14
O06747,,,Uncharacterized protein YitL OS=Bacillus subtilis (strain 168) GN=yitL PE=4 SV=2 ,8
O06967,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane;membrane,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA OS=Bacillus subtilis (strain 168) GN=bmrA PE=1 SV=1 ,4
O06972,,,Uncharacterized Nudix hydrolase YvcI OS=Bacillus subtilis (strain 168) GN=yvcI PE=3 SV=1 ,13
O06973,,,Nucleotide-binding protein YvcJ OS=Bacillus subtilis (strain 168) GN=yvcJ PE=1 SV=1 ,68
O06974,GO:0005737;GO:0005737,cytoplasm;cytoplasm,Gluconeogenesis factor OS=Bacillus subtilis (strain 168) GN=mgfK PE=3 SV=1 ,2
O06978,GO:0005737;GO:0005737,cytoplasm;cytoplasm,Uncharacterized transcriptional regulatory protein YvcP OS=Bacillus subtilis (strain 168) GN=yvcP PE=3 SV=1 ,2
O06989,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane,Maltodextrin-binding protein MdxE OS=Bacillus subtilis (strain 168) GN=mdxE PE=1 SV=1 ,2
O07015,,,Sigma factor SigB regulation protein RsbQ OS=Bacillus subtilis (strain 168) GN=rsbQ PE=1 SV=1 ,15
O07020,,,Lactate utilization protein A OS=Bacillus subtilis (strain 168) GN=lutA PE=1 SV=1 ,26
O07021,,,Lactate utilization protein B OS=Bacillus subtilis (strain 168) GN=lutB PE=1 SV=2 ,21
O07081,,,Uncharacterized isochorismatase family protein YrdC OS=Bacillus subtilis (strain 168) GN=yrdC PE=3 SV=1 ,22
